model_combination,index,MSE,R2
xgboost_and_xgboost,msavi_25_vari_25_and_ndvi_25_ndbi_25,0.1900386132587797,0.7416470772198014
xgboost_and_rf,msavi_25_vari_25_and_msavi_25_vari_25,0.18272865117951637,0.75158479480364
xgboost_and_rf,msavi_25_vari_25_and_ndvi_25_ndbi_25,0.18272865117951637,0.75158479480364
xgboost_and_xgboost,ndvi_25_ndbi_25_and_msavi_25_vari_25,0.1900386132587797,0.7416470772198014
xgboost_and_rf,ndvi_25_ndbi_25_and_msavi_25_vari_25,0.18272865117951637,0.75158479480364
xgboost_and_rf,ndvi_25_ndbi_25_and_ndvi_25_ndbi_25,0.18272865117951637,0.75158479480364
rf_and_xgboost,msavi_25_vari_25_and_msavi_25_vari_25,0.18272865117951634,0.75158479480364
rf_and_xgboost,msavi_25_vari_25_and_ndvi_25_ndbi_25,0.18272865117951634,0.75158479480364
rf_and_rf,msavi_25_vari_25_and_ndvi_25_ndbi_25,0.1847484567339386,0.7488389177448441
rf_and_xgboost,ndvi_25_ndbi_25_and_msavi_25_vari_25,0.18272865117951634,0.75158479480364
rf_and_xgboost,ndvi_25_ndbi_25_and_ndvi_25_ndbi_25,0.18272865117951634,0.75158479480364
rf_and_rf,ndvi_25_ndbi_25_and_msavi_25_vari_25,0.1847484567339386,0.7488389177448441
